127.0.0.1 - - [11/Apr/2023:14:10:16 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:10:17 +0900] "GET /hellojsp/CH07/cookiesMain.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:10:17 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:10:30 +0900] "GET /hellojsp/CH07/cookiesProc.jsp?id=&password=&save=1 HTTP/1.1" 200 226
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:10:48 +0900] "GET /hellojsp/CH07/cookiesMain.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:10:57 +0900] "GET /hellojsp/CH07/cookiesProc.jsp?id=21&password=%EC%88%98%EC%A7%84&save=1 HTTP/1.1" 200 228
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:10:59 +0900] "GET /hellojsp/CH07/cookiesMain.jsp HTTP/1.1" 200 924
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:15:30 +0900] "GET /hellojsp/CH07/cookiesMain.jsp HTTP/1.1" 200 922
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:22:00 +0900] "GET /hellojsp/CH07/session/sessionMain.jsp HTTP/1.1" 200 708
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:22:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:25:59 +0900] "GET /hellojsp/CH07/session/sessionMain.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:25:59 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:26:04 +0900] "POST /hellojsp/CH07/session/sessionProc1.jsp HTTP/1.1" 200 174
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:28:00 +0900] "GET /hellojsp/CH07/session/sessionMain.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:28:00 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:28:03 +0900] "POST /hellojsp/CH07/session/sessionProc1.jsp HTTP/1.1" 200 180
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:29:08 +0900] "GET /hellojsp/CH07/session/sessionMain.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:29:12 +0900] "POST /hellojsp/CH07/session/sessionProc1.jsp HTTP/1.1" 200 176
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:33:01 +0900] "GET /hellojsp/CH07/session/sessionMain.jsp HTTP/1.1" 200 710
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:33:09 +0900] "POST /hellojsp/CH07/session/sessionProc1.jsp HTTP/1.1" 200 175
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [11/Apr/2023:14:41:36 +0900] "GET /hellojsp/CH07/session/sessionProc2.jsp HTTP/1.1" 302 -
